문제이름/선택지/선택시 주인공 대사/NPC 답변/정답여부,,
No3. 흰 털의 무언가/몬스터가 너구리가 되어 있었다/몬스터들이 전부 너구리로 변해 있었어. 그 털은 너구리의 털이 아니었을까?/그럼 하얀 너구리들이었던 건가요? 수고 많으셨어요. 나중에 사람을 보내 확인해 볼게요./X,,
No3. 흰 털의 무언가/몬스터가 토끼가 되어 있었다/던전 안에 있던 몬스터들이 전부 귀여운 토끼로 변해 있었어. 그 모험가의 옷에 붙은 털은 토끼의 털이었던 것 같아./흰 토끼의 털이 붙어있었던 거군요! 수고하셨어요. 나중에 사람을 보내 확인해 보겠습니다./O,,
No9. 작은 던전/내 몸이 커졌다/내 몸이 엄청나게 커져서 던전에 끼일 뻔했어... 그래서 던전이 작아졌다고 생각했나 봐./확실히 그럴 수 있겠네요! 수고하셨어요. 나중에 사람을 보내 확인해 보겠습니다./O,,
No9. 작은 던전/두더지가 커졌다/두더지가 엄청 커져 있었어... 그래서 던전이 작은 것처럼 느낀 게 아닐까?/두더지가 커졌다고 그렇게 느낄까요...? 수고하셨어요. 나중에 사람을 보내 확인해 볼게요./X,,
No9. 작은 던전/토끼가 커졌다/토끼가 엄청 커져 있었어... 그래서 던전이 작은 것처럼 느낀 게 아닐까?/토끼가 커졌다고 그렇게 느낄까요...? 수고하셨어요. 나중에 사람을 보내 확인해 볼게요./X,,
"No12. 기억상실/커다란 두더지가 굴러왔다/던전 안에 들어가니까 갑자기 커다란 두더지가 굴러와서 죽을 뻔했어... 의뢰자는 두더지에 머리를 맞고 기억을 잃은 거야./""두더지를 맞고 기억 상실...? 음"," 수고하셨어요. 나중에 사람을 보내 확인해 볼게요.""/X",
No12. 기억상실/커다란 돌이 굴러왔다/던전에 들어가니까 갑자기 커다란 돌이 굴러와서 깔려 죽을 뻔했어... 의뢰자는 돌에 머리를 맞고 기절했나 봐./그런 안타까운 사고가 있던 거였군요. 수고하셨어요! 나중에 사람을 보내 확인해 볼게요./O,,
"No12. 기억상실/커다란 공룡이 굴러왔다/던전에 들어가니까 갑자기 커다란 공룡이 굴러와서 깔려 죽을 뻔했어... 의뢰자는 공룡에 머리를 맞고 기억을 잃은 거야./""공룡을 맞으면 죽지 않을까요...? 음"," 수고하셨어요. 나중에 사람을 보내 확인해 볼게요.""/X",
No7. 공허한 느낌/지도가 없어졌다/던전 안에 들어갔더니 지도가 사라졌어. 그것 때문에 아무것도 못 찾은 게 아닐까?/지도가 사라졌다고 그런 일이 생길까요? 우선 알겠습니다. 나중에 사람을 보내 확인해 볼게요./X,,
"No7. 공허한 느낌/""몬스터도"," 함정도 없어졌다""/던전 안에 몬스터도 없고 함정도 없어. 이건 확실히 문제였네./저런! 그러면 확실히 문제지요. 수고하셨어요! 나중에 사람을 보내 확인해 보겠습니다./O",
No7. 공허한 느낌/탈출구가 없어졌다/던전 탈출구가 사라져 있었어. 이러면 확실히 뭔가 없는 기분이 들 수도 있겠네./탈출만 사라졌다기엔 반응이 격했는데요... 수고하셨어요. 나중에 사람을 보내 확인해 보겠습니다./X,,
"No1. 시끄러운 던전/몬스터가 엄청 커졌다/던전 안의 몬스터 크기가 비정상적으로 커져 있었어. 들리던 소리는 거대하게 변한 몬스터들의 발소리였던 모양이야./""그랬던 거군요! 나중에 사람을 보내 확인해 보겠습니다. 의뢰"," 수고 많으셨습니다!""/O",
No1. 시끄러운 던전/타일이 엄청 커졌다/발판들이 다 엄청나게 커져 있던데? 그것들이 무너지면서 들린 소리 아냐?/음... 그런 걸까요? 우선 수고 많으셨습니다. 나중에 사람을 보내 확인해 볼게요./X,,
No1. 시끄러운 던전/아무 일도 없었다/아무것도 달라진 게 없던데... 의뢰자가 착각한 게 아닐까?/음... 그런 걸까요? 우선 수고 많으셨습니다. 나중에 사람을 보내 확인해 볼게요./X,,
"No5. 폭발 던전/혜성이 날아왔다/하늘에서 커다란 혜성이 날아와서 충돌해서 죽을 뻔 했어.../""하늘에서 혜성이 날아오다니", 신기한 일이네요. 수고하셨어요," 나중에 사람을 보내 확인해 보겠습니다!""/O"
No5. 폭발 던전/토끼가 날아왔다/하늘에서 토끼가 날아와서 충돌해서 죽을 뻔 했어.../토끼를 맞고 죽을 뻔할 수가 있나요...? 흠... 일단 수고하셨어요 나중에 사람을 보내 확인해 볼게요./X,,
No5. 폭발 던전/두더지가 날아왔다/하늘에서 두더지가 날아와서 나를 입으로 찌르려고 했어.../두더지도 하늘을 나는 일이 있군요... 우선 알겠습니다. 나중에 사람을 보내 확인해 볼게요./X,,
No14. 폭풍전야?/모든게 잘못되어 있었다/하나부터 열까지 모든 것들이 잘못되어 있었어. 정상이 아니야!/의뢰서랑 현상이 너무 다른데요?! 일단 알겠습니다. 나중에 사람이 보내 확인해 볼게요./X,,
"No14. 폭풍전야?/아무 일도 없었다/의뢰자 말대로 아무런 문제가 없었어. 불안해하는 마음도 이해는 가지만 지금은 괜찮을 것 같네./""요즘 계속 문제가 생겼으니 그럴 수도 있지요. 수고하셨어요"," 나중에 사람을 보내 확인해 볼게요.""/O",
"No14. 폭풍전야?/탈출구가 없어졌다/탈출구가 사라져 있었어! 역시 아무 일도 안 일어날 순 없지./""탈출구만 몇 번째 사라지는지 모르겠네요. 수고하셨어요"," 나중에 사람을 보내 확인해 보겠습니다.""/X",
"No6. 이상한 몬스터들/몬스터가 없어졌다/던전 안에 몬스터가 한 마리도 없던데?/""네? 그럼 클리어가 더 쉬워져야 하는 게 아닌가요...? 흠"," 나중에 사람을 보내 확인해 볼게요. 수고하셨어요!""/X",
"No6. 이상한 몬스터들/접수원이 많아졌다/던전 안에 모험가 길드 접수원이 너무 많아... 그러니까 당연히 힘들 수밖에./""던전 안에 저희 길드 접수원이 많다고요...? 그럴 리가...? 크흠"," 나중에 사람을 보내 확인해 보겠습니다.""/X",
No6. 이상한 몬스터들/몬스터가 엄청 많아졌다/던전 안에 몬스터가 포화 상태야. 평소보다 수가 엄청나게 많았으니 클리어가 힘들 수밖에./그렇다면 당연히 힘들어지겠네요. 수고하셨어요! 나중에 사람을 보내 확인해 보겠습니다./O,,
No8. 출구 없음/던전이 사라졌다/던전 자체가 사라져 있었어. 그러면 당연히 출구도 없겠지./네? 의뢰자 분은 분명 던전은 들어갔다고 하셨는데... 일단 알겠습니다. 나중에 사람을 보내 확인해 볼게요./X,,
No8. 출구 없음/탈출구가 사라졌다/의뢰자 말처럼 탈출구가 아예 없었어. 나도 벽을 기어서 나갈 뻔했네./사실이었군요! 수고 많으셨어요. 나중에 사람을 보내 확인해 보겠습니다!/O,,
No8. 출구 없음/내 몸이 사라졌다/던전에 들어가는 순간 내 몸이 사라졌어. 그러면 탈출도 못 하겠지./네...? 그럼 어떻게 나오신 건가요...? 음... 나중에 사람을 보내 확인해 보겠습니다./X,,
"No10. 공중부양/땅이 커졌다/땅이 엄청나게 커져서 나를 태우고 하늘을 날아다녔어./""이상한 일이 두 가지나...? 수고하셨어요"," 나중에 사람을 보내 확인해 볼게요.""/X",
No10. 공중부양/아무 일도 없었다/아무런 일도 안 일어나던데? 의뢰자가 뭔가 착각한 게 아닐까?/예? 그럼 의뢰가 잘못된 건가요? 나중에 사람을 보내 확인해 볼게요./X,,
No10. 공중부양/발판이 투명해졌다/던전 안의 발판이 투명해져서 날아다닌다고 느낀 것 같아./그런 일도 일어나는군요! 수고하셨어요! 나중에 사람을 보내 확인해 보겠습니다./O,,
"No13. 통이 큰 던전/하늘에서 토끼가 떨어졌다/하늘에서 토끼가 엄청나게 떨어졌어. 주머니가 두둑해진 이유가 있었네./""의뢰자는 토끼를 팔았던 건가요...? 음"," 수고하셨어요. 나중에 사람을 보내 확인해 보겠습니다.""/X",
"No13. 통이 큰 던전/하늘에서 접수원이 떨어졌다/하늘에서 접수원이 엄청나게 떨어졌어. 주머니가 두둑해진 이유가 있었네./""네?! 인신매매...?! 이럴수가"," 나중에 사람을 보내 확인해 보겠습니다.""/X",
No13. 통이 큰 던전/하늘에서 골드가 떨어졌다/하늘에서 엄청나게 많은 골드가 떨어졌어! 주머니가 두둑해진 이유가 있었네./그럼 이 던전을 숨겨서 이득을... 핫! 죄송합니다! 나중에 사람을 보내 확인해 볼게요./O,,
No15. 얌전해진 몬스터들/시간이 멈춘 것처럼 아무것도 움직이지 않았다/던전 안이 마치 시간이 멈춘 것처럼 아무것도 움직이지 않았어. 그래서 몬스터들도 얌전했던 거야./확실히 그렇게 느꼈을 것 같아요. 수고하셨습니다! 나중에 사람을 보내 확인해 볼게요./O,,
"No15. 얌전해진 몬스터들/토끼가 공중제비를 돌았다/던전 안에 들어가니 토끼가 공중제비를 돌며 나를 공격했어!/""의뢰 내용이랑 너무 다르지 않나요...? 음"," 수고하셨습니다. 나중에 사람을 보내 확인해 볼게요.""/X",
"No15. 얌전해진 몬스터들/내가 공중제비를 돌았다/던전 안에 들어가니까 갑자기 공중제비를 돌고 싶은 기분이 되어서 운동을 하다 왔어./""음... 다시 다녀오... 아니에요. 수고하셨어요"," 나중에 사람을 보내 확인해 보겠습니다.""/X",
